"Lot.Number","Family","Production.Date","Production.Set.Point.A","Production.Set.Point.B","Production.Set.Point.C","Production.Set.Point.D","Growth.Time.A","Growth.Slope.A","Growth.Slope.B","Growth.Max","Growth.Slope.C","Growth.Time.B","Protein.Conc.A","Protein.C","Protein.Conc.B","Protein.Conc.C","Protein.Conc.D","Adjuvent.Conc","Potency.Test.Date","Inflection","Potency","prod_year","prod_week","Prod_date","pot_year","pot_week","Potency_date","Vacc_age","corrected_potency"
363,"A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,0.513,1.997,78,1.4,"2008W23",6.54,105.04,NA,NA,NA,2008,23,2008-06-04,NA,105.04
364,"A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.41979,NA,1.183,5.254,111,1.3,"2008W40",8.87,120,NA,NA,NA,2008,40,2008-10-01,NA,120
365,"A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5793733333,NA,1.13,5.658,104,1.3,"2008W41",6.3,82.69,NA,NA,NA,2008,41,2008-10-08,NA,82.69
366,"A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.883046667,NA,1.104,4.966,105,1.2,"2008W42",7.53,99.5,NA,NA,NA,2008,42,2008-10-15,NA,99.5
371,"A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.522726667,NA,1.109,4.739,122,1.2,"2009W05",9.41,120.34,NA,NA,NA,2009,5,2009-01-30,NA,120.34
368,"A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2035233333,NA,0.898,5.458,110,NA,"2009W11",9.39,126.49,NA,NA,NA,2009,11,2009-03-13,NA,126.49
367,"A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.177456667,NA,1.15,6.214,108,NA,"2009W16",14.37,191.89,NA,NA,NA,2009,16,2009-04-17,NA,191.89
372,"A","",36.4,35.8,220,15,NA,NA,NA,NA,NA,NA,10.892866667,NA,0.478,2.574,118,1.3766,"2010W28",11.61,153.25,NA,NA,NA,2010,28,2010-07-10,NA,153.25
373,"A","",36.4,35.8,220,15,NA,NA,NA,NA,NA,NA,10.100196667,NA,0.458,2.498,100,1.4031,"2010W28",6.29,83.74,NA,NA,NA,2010,28,2010-07-14,NA,83.74
374,"A","",36.4,35.8,220,15,NA,NA,NA,NA,NA,NA,10.316473333,NA,0.506,2.861,110,1.435,"2010W29",6.19,81.66,NA,NA,NA,2010,29,2010-07-17,NA,81.66
375,"A","",36.4,35.8,220,15,NA,NA,NA,NA,NA,NA,9.8127333333,NA,0.486,2.771,102,1.4,"2010W29",5.13,68.9,NA,NA,NA,2010,29,2010-07-21,NA,68.9
376,"A","",36.4,35.8,220,15,NA,NA,NA,NA,NA,NA,9.5721466667,NA,0.483,2.68,102,1.3,"2010W29",6.75,88.22,NA,NA,NA,2010,29,2010-07-17,NA,88.22
380,"A","",36.4,35.8,220,15,NA,NA,NA,NA,NA,NA,9.4680666667,64,0.62,2.956,NA,1.1,"2011W47",9.04,120.62,NA,NA,NA,2011,47,2011-11-20,NA,120.62
381,"A","",36.4,35.8,220,15,NA,NA,NA,NA,NA,NA,10.14468,63.5,0.683,3.219,NA,1.2,"2011W47",6.39,84.7,NA,NA,NA,2011,47,2011-11-24,NA,84.7
382,"A","",36.4,35.8,220,15,NA,NA,NA,NA,NA,NA,8.9700633333,58.266666667,0.477,2.525,NA,1.1,"2011W47",6.71,87.7,NA,NA,NA,2011,47,2011-11-20,NA,87.7
385,"A","",36.4,35.8,220,15,NA,NA,NA,NA,NA,NA,8.4069533333,61.966666667,0.537,3.002,81,1.0732,"2012W35",5.06,66.64,NA,NA,NA,2012,35,2012-08-27,NA,66.64
383,"A","",36.4,35.8,220,15,NA,NA,NA,NA,NA,NA,9.7240633333,67.6,0.659,4.097,92,1.1,"2012W36",6.84,92.76,NA,NA,NA,2012,36,2012-09-03,NA,92.76
388,"A","",36.4,35.8,220,15,NA,NA,NA,NA,NA,NA,9.2716966667,66.333333333,0.584,3.141,82,1.0415,"2012W41",5.58,72.73,NA,NA,NA,2012,41,2012-10-08,NA,72.73
389,"A","",36.4,35.6,225,15,NA,NA,NA,NA,NA,NA,8.5518833333,55.133333333,0.505,2.782,76,1.0388,"2012W41",5.32,70.5,NA,NA,NA,2012,41,2012-10-12,NA,70.5
384,"A","",36.4,35.8,220,15,NA,NA,NA,NA,NA,NA,7.8895233333,54.766666667,0.368,2.165,77,1.1445,"2012W42",6.55,85.7,NA,NA,NA,2012,42,2012-10-15,NA,85.7
390,"A","",36.4,35.6,225,15,NA,NA,NA,NA,NA,NA,8.0602733333,57.133333333,0.399,2.347,72,1.0526,"2012W42",4.16,55.69,NA,NA,NA,2012,42,2012-10-19,NA,55.69
391,"A","",36.4,35.6,225,15,NA,NA,NA,NA,NA,NA,9.1884033333,64.133333333,0.574,3.176,84,1.0109,"2012W42",4.2,55.64,NA,NA,NA,2012,42,2012-10-15,NA,55.64
392,"A","",36.4,35.6,225,15,NA,NA,NA,NA,NA,NA,9.2028933333,57.566666667,0.451,1.97,86,1.08,"2013W07",8.86,117.1,NA,NA,NA,2013,7,2013-02-13,NA,117.1
396,"A","",36.4,35.6,225,15,NA,NA,NA,NA,NA,NA,8.9519733333,61.366666667,0.657,2.663,82,1.0534,"2013W07",6.43,85.26,NA,NA,NA,2013,7,2013-02-17,NA,85.26
397,"A","",36.4,35.6,225,15,NA,NA,NA,NA,NA,NA,9.1271433333,51.733333333,0.639,2.635,91,1.0768,"2013W08",8.54,113.32,NA,NA,NA,2013,8,2013-02-20,NA,113.32
393,"A","",36.4,35.6,225,15,NA,NA,NA,NA,NA,NA,7.54053,53.2,0.404,1.798,84,1.1,"2013W09",6.18,81.09,NA,NA,NA,2013,9,2013-02-27,NA,81.09
398,"A","",36.4,35.6,225,15,NA,NA,NA,NA,NA,NA,9.1841333333,48.033333333,0.559,2.414,85,1.1076,"2013W09",7.24,95.85,NA,NA,NA,2013,9,2013-03-03,NA,95.85
399,"A","",36.4,35.6,230,15,NA,NA,NA,NA,NA,NA,10.28533,57.9,0.712,2.989,99,1.0518,"2013W09",6.23,84.49,NA,NA,NA,2013,9,2013-02-27,NA,84.49
400,"A","",36.4,35.6,230,15,NA,NA,NA,NA,NA,NA,9.4400966667,54.333333333,0.629,2.623,91,1.1,"2013W10",5.18,68.73,NA,NA,NA,2013,10,2013-03-06,NA,68.73
401,"A","",36.4,35.6,230,15,NA,NA,NA,NA,NA,NA,8.59658,62.666666667,0.514,2.681,89,1.1924,"2013W11",7.97,104.32,NA,NA,NA,2013,11,2013-03-13,NA,104.32
403,"A","2013W07",36.4,35.6,230,15,NA,NA,NA,NA,NA,NA,8.0595466667,47.766666667,0.412,2.034,70,1.0697,"2013W12",6.06,80.33,2013,7,2013-02-12,2013,12,2013-03-20,36,80.33
406,"A","2013W08",36.4,36,230,15,NA,NA,NA,NA,NA,NA,9.3628633333,42.066666667,0.62,2.088,80,1.1105,"2013W12",3.77,50.04,2013,8,2013-02-21,2013,12,2013-03-24,31,50.04
408,"A","2013W09",36.4,36,230,15,NA,NA,NA,NA,NA,NA,8.0491233333,53.733333333,0.57,1.891,74,1.1,"2013W14",5.35,70.22,2013,9,2013-02-28,2013,14,2013-04-03,34,70.22
394,"A","",36.4,35.6,225,15,NA,NA,NA,NA,NA,NA,7.7229633333,52.966666667,0.294,1.257,78,1.099,"2013W14",9.46,125.29,NA,NA,NA,2013,14,2013-04-07,NA,125.29
395,"A","",36.4,35.6,225,15,NA,NA,NA,NA,NA,NA,8.04443,59.933333333,0.667,2.74,82,1.0534,"2013W14",7.66,100.08,NA,NA,NA,2013,14,2013-04-03,NA,100.08
409,"A","2013W10",36.4,36,230,15,NA,NA,NA,NA,NA,NA,8.93256,53.433333333,0.784,3.036,83,1.1,"2013W18",7.28,98.49,2013,10,2013-03-05,2013,18,2013-05-01,57,98.49
