"Lot.Number","Family","Production.Date","Production.Set.Point.A","Production.Set.Point.B","Production.Set.Point.C","Production.Set.Point.D","Growth.Time.A","Growth.Slope.A","Growth.Slope.B","Growth.Max","Growth.Slope.C","Growth.Time.B","Protein.Conc.A","Protein.C","Protein.Conc.D","Adjuvent.Conc","Potency.Test.Date","Inflection","Potency","prod_year","prod_week","Prod_date","pot_year","pot_week","Potency_date","Vacc_age","corrected_potency","Protein.Conc.B_KNNimputed","Protein.Conc.C_KNNimputed","log_corrected_potency"
467,"A","2013W38",36.4,36.2,205,15,114,39.9328835,45.3346867,645.275574,-41.203434,891,11.474216667,65,106,1.2663,"2013W44",7.08,95.1,2013,38,"2013-09-19",2013,44,"2013-10-30",41,95.1,0.789,3.036,4.55492896955134
469,"A","2013W39",36.4,36.2,205,15,110,39.5030936,43.0861083,644.67627,-40.599589,908,10.439156667,64.8,105,1.3104,"2013W44",7.02,91.39,2013,39,"2013-09-26",2013,44,"2013-11-03",38,91.39,0.789,3.036,4.51513606328411
470,"A","2013W40",36.4,36.2,205,15,111,38.692637,47.3786411,650.334473,-41.090756,914,8.9566566667,61.033333333,99,1.3167,"2013W44",5.33,71.8,2013,40,"2013-10-01",2013,44,"2013-10-30",29,71.8,0.74,2.563,4.27388447605418
1,"B","2014W37",36.5,36.2,205,15,110,39.6560098,35.2519651,624.258972,-40.334855,910,8.3702066667,62.966666667,92,1.3,"2014W42",62.21,186.95,2014,37,"2014-09-10",2014,42,"2014-10-20",40,110.621301775148,0.8479,2.9289,4.70611267248814
533,"A","2014W46",36.5,36.2,205,15,108,39.9743663,31.0297904,627.274292,-40.515465,938,7.6467066667,61.133333333,84,1.3628,"2015W05",12.85,139.87,2014,46,"2014-11-14",2015,5,"2015-01-30",77,139.87,0.9503,3.1975,4.94071341979121
535,"A","2014W50",36.5,36.2,205,15,109,40.8563074,28.1342117,618.082214,-40.411128,929,8.6602966667,57.166666667,85,1.3788,"2015W10",10.48,140.89,2014,50,"2014-12-12",2015,10,"2015-03-06",84,140.89,0.9503,2.9289,4.94797944406519
538,"A","2014W52",36.5,36.2,205,15,107,41.4397122,30.6477318,618.010498,-41.215559,898,9.2521266667,59.566666667,85,1.4,"2015W10",9.83,130.53,2014,52,"2014-12-24",2015,10,"2015-03-10",76,130.53,0.9503,3.1955,4.8716030854007
537,"A","2014W51",36.5,36.2,205,15,106,39.3870674,24.7465621,606.206421,-39.097949,953,8.0941933333,60.2,83,1.401,"2015W13",12.02,159.43,2014,51,"2014-12-19",2015,13,"2015-03-27",98,159.43,0.9503,2.9289,5.07160495441927
544,"A","2015W05",36.5,36.2,205,15,109,39.5305867,19.4498512,593.700195,-37.928357,970,8.2476866667,52.566666667,85,1.3662,"2015W13",11.05,144.44,2015,5,"2015-01-29",2015,13,"2015-03-31",61,144.44,0.898,2.9289,4.97286419640926
539,"A","2015W01",36.5,36.2,205,15,106,40.8009707,31.5784023,618.296814,-40.778149,916,8.9183033333,65.5,92,1.4,"2015W14",11.81,157.69,2015,1,"2015-01-01",2015,14,"2015-04-03",92,157.69,0.9476,3.1955,5.0606310804175
540,"A","2015W02",36.5,36.2,205,15,114,37.7913208,11.6434116,565.423218,-36.388027,1004,8.8165,46.366666667,93,1.3277,"2015W14",9.61,129.77,2015,2,"2015-01-10",2015,14,"2015-04-07",87,129.77,0.898,2.775,4.86576365274914
